Word,Frequency,Rows with Word,Percentage of Rows with Word
love,1850,423,52.6775
baby,684,160,19.9253
see,480,240,29.8879
time,450,209,26.0274
heart,415,200,24.9066
girl,391,143,17.8082
day,368,167,20.797
right,326,149,18.5554
night,302,156,19.4271
said,248,125,15.5666
man,248,99,12.3288
sweet,224,79,9.8381
give,212,119,14.8194
cry,207,79,9.8381
mind,203,100,12.4533
blue,195,66,8.2192
long,190,103,12.8269
hold,188,84,10.4608
life,184,101,12.5778
find,182,111,13.8232
happy,177,58,7.2229
look,175,107,13.325
true,172,92,11.457
people,169,77,9.589
walk,164,67,8.3437
hear,163,90,11.208
leave,144,82,10.2117
stop,140,48,5.9776
name,137,62,7.721
alone,129,88,10.9589
kiss,127,76,9.4645
care,126,61,7.5965
woman,119,36,4.4832
stay,116,68,8.4682
dance,114,38,4.7323
hand,110,67,8.3437
live,108,55,6.8493
pretty,105,42,5.2304
place,103,47,5.8531
told,102,60,7.472
nothing,101,51,6.3512
big,101,47,5.8531
together,99,51,6.3512
left,98,69,8.5928
turn,98,50,6.2267
soul,98,40,4.9813
play,97,56,6.9738
show,96,56,6.9738
rain,95,39,4.8568
town,92,51,6.3512
hard,91,57,7.0984
fine,91,47,5.8531
head,90,54,6.7248
boy,89,41,5.1059
lose,86,40,4.9813
sun,85,57,7.0984
call,84,48,5.9776
side,84,48,5.9776
sure,83,49,6.1021
song,81,42,5.2304
young,81,36,4.4832
break,80,36,4.4832
door,79,51,6.3512
shake,79,22,2.7397
knew,78,53,6.6002
start,77,50,6.2267
light,77,39,4.8568
real,76,36,4.4832
embed,74,74,9.2154
sing,74,39,4.8568
dream,73,39,4.8568
beat,73,33,4.1096
die,72,41,5.1059
forever,71,36,4.4832
work,71,26,3.2379
bit,71,25,3.1133
heard,70,45,5.604
guy,69,37,4.6077
face,68,51,6.3512
hide,67,38,4.7323
red,67,26,3.2379
street,66,42,5.2304
mean,66,36,4.4832
fool,66,33,4.1096
sit,66,29,3.6115
ride,66,28,3.4869
lost,65,44,5.4795
listen,65,42,5.2304
meet,64,48,5.9776
smile,64,48,5.9776
wrong,64,46,5.7285
inside,64,44,5.4795
end,64,43,5.3549
high,64,42,5.2304
summer,64,22,2.7397
free,63,30,3.736
watch,63,25,3.1133
deep,62,36,4.4832
today,62,35,4.3587
thought,61,45,5.604
sound,60,30,3.736
music,60,29,3.6115
talk,60,26,3.2379
fun,58,30,3.736
tonight,58,27,3.3624
stand,57,42,5.2304
feet,57,41,5.1059
fly,57,27,3.3624
game,57,26,3.2379
wait,56,42,5.2304
easy,56,26,3.2379
moon,54,22,2.7397
guess,53,35,4.3587
hair,53,25,3.1133
best,52,37,4.6077
hurt,52,33,4.1096
forget,52,28,3.4869
sea,51,26,3.2379
honey,51,26,3.2379
bring,50,33,4.1096
friend,50,29,3.6115
fall,49,32,3.9851
move,49,28,3.4869
hang,49,20,2.4907
heaven,48,24,2.9888
grow,47,22,2.7397
school,47,19,2.3661
chance,46,32,3.9851
tight,45,34,4.2341
glad,45,26,3.2379
close,44,33,4.1096
sight,44,28,3.4869
cool,43,18,2.2416
magic,43,18,2.2416
sky,42,26,3.2379
green,42,20,2.4907
fire,42,18,2.2416
gave,41,32,3.9851
ring,41,23,2.8643
change,41,23,2.8643
land,41,19,2.3661
men,41,17,2.1171
born,40,20,2.4907
wind,40,18,2.2416
touch,39,27,3.3624
hope,39,26,3.2379
cold,39,26,3.2379
sad,39,25,3.1133
daddy,39,17,2.1171
white,38,18,2.2416
open,36,22,2.7397
sleep,36,21,2.6152
rock,36,18,2.2416
late,35,24,2.9888
warm,35,23,2.8643
house,35,21,2.6152
poor,35,17,2.1171
low,34,28,3.4869
fell,34,22,2.7397
dead,34,17,2.1171
eye,33,24,2.9888
tear,33,18,2.2416
strong,33,17,2.1171
broken,32,21,2.6152
broke,31,18,2.2416
felt,30,22,2.7397
afraid,30,20,2.4907
moment,30,18,2.2416
set,30,17,2.1171
great,29,19,2.3661
floor,28,22,2.7397
reason,28,19,2.3661
road,28,17,2.1171
pain,27,22,2.7397
treat,27,21,2.6152
laugh,27,18,2.2416
darling,27,18,2.2416
tomorrow,26,21,2.6152
dark,26,21,2.6152
pass,26,18,2.2416
ground,25,18,2.2416
pride,24,20,2.4907
room,24,19,2.3661
money,23,20,2.4907
queen,23,19,2.3661
fast,23,19,2.3661
wake,23,17,2.1171
met,22,19,2.3661
stood,22,17,2.1171
single,22,17,2.1171
car,22,17,2.1171
window,21,18,2.2416
held,20,17,2.1171
voice,19,17,2.1171
learn,18,17,2.1171
