Word,Frequency,Rows with Word,Percentage of Rows with Word
street,23,18,3.5363
full,23,17,3.3399
past,23,17,3.3399
burn,23,14,2.7505
sea,23,13,2.554
paid,23,12,2.3576
town,22,15,2.947
strength,22,13,2.554
ring,22,11,2.1611
earth,22,11,2.1611
spend,21,14,2.7505
mother,21,14,2.7505
fill,21,13,2.554
perfect,21,12,2.3576
single,21,12,2.3576
bitch,21,12,2.3576
rhyme,21,11,2.1611
afraid,20,16,3.1434
jam,20,13,2.554
loud,20,12,2.3576
ease,20,11,2.1611
fell,20,11,2.1611
white,19,18,3.5363
eye,19,16,3.1434
seeing,19,16,3.1434
yesterday,19,11,2.1611
read,19,11,2.1611
magic,19,11,2.1611
drop,18,16,3.1434
picture,18,14,2.7505
wild,18,14,2.7505
choose,18,12,2.3576
bed,18,12,2.3576
ocean,18,12,2.3576
fantasy,18,11,2.1611
speak,17,14,2.7505
drink,17,13,2.554
story,17,13,2.554
hang,17,12,2.3576
flip,17,12,2.3576
soft,17,12,2.3576
type,17,12,2.3576
embed,16,16,3.1434
empty,16,13,2.554
pride,16,13,2.554
child,16,12,2.3576
fear,16,12,2.3576
deny,16,12,2.3576
pass,16,11,2.1611
fit,16,11,2.1611
brain,16,11,2.1611
straight,15,15,2.947
air,15,13,2.554
fact,15,12,2.3576
darling,15,11,2.1611
caught,14,14,2.7505
breath,14,13,2.554
short,14,12,2.3576
gold,14,11,2.1611
wall,13,12,2.3576
explain,13,12,2.3576
deal,13,12,2.3576
shot,13,11,2.1611
bet,13,11,2.1611
cash,12,12,2.3576
thunder,12,11,2.1611
wave,11,11,2.1611
