Word,Frequency,Rows with Word,Percentage of Rows with Word
love,1831,330,64.833
baby,900,197,38.7033
see,639,227,44.5972
time,582,236,46.3654
give,497,151,29.666
heart,411,153,30.0589
right,393,161,31.6306
night,341,125,24.558
girl,310,110,21.611
man,271,108,21.2181
day,265,112,22.0039
life,261,121,23.7721
mind,253,119,23.3792
hold,229,97,19.057
look,210,100,19.6464
body,210,51,10.0196
find,207,106,20.8251
said,187,92,18.0747
show,183,73,14.3418
real,178,69,13.556
stop,177,73,14.3418
nothing,176,74,14.5383
ride,170,30,5.8939
long,169,85,16.6994
turn,162,75,14.7348
true,156,70,13.7525
inside,147,87,17.0923
together,147,58,11.3949
live,146,54,10.609
call,144,68,13.3595
wrong,138,67,13.1631
tonight,138,40,7.8585
rain,137,49,9.6267
forever,135,52,10.2161
boy,135,47,9.2338
touch,133,57,11.1984
move,130,42,8.2515
hear,127,73,14.3418
free,126,43,8.4479
close,124,63,12.3772
face,123,72,14.1454
kiss,123,48,9.4303
place,122,61,11.9843
stay,121,73,14.3418
cry,118,53,10.4126
friend,118,44,8.6444
people,115,45,8.8409
promise,115,26,5.1081
leave,114,62,12.1807
hard,111,66,12.9666
walk,108,53,10.4126
play,108,47,9.2338
sweet,107,42,8.2515
alone,104,57,11.1984
work,103,40,7.8585
talk,102,49,9.6267
dream,101,50,9.8232
break,97,60,11.7878
light,96,48,9.4303
rock,96,34,6.6798
knew,95,59,11.5914
fall,95,48,9.4303
hope,94,46,9.0373
change,93,52,10.2161
best,93,45,8.8409
name,93,42,8.2515
shake,93,19,3.7328
told,91,51,10.0196
start,89,51,10.0196
deep,88,46,9.0373
money,88,37,7.2692
pain,87,50,9.8232
thought,86,66,12.9666
sure,86,52,10.2161
hit,86,46,9.0373
dance,85,33,6.4833
woman,84,27,5.3045
strong,83,48,9.4303
party,81,23,4.5187
save,75,22,4.3222
kick,75,18,3.5363
step,72,30,5.8939
set,72,29,5.6974
crazy,71,36,7.0727
low,71,20,3.9293
mean,70,45,8.8409
tight,70,31,6.0904
lose,69,33,6.4833
roll,69,19,3.7328
care,68,47,9.2338
bring,67,44,8.6444
reason,67,30,5.8939
babe,67,22,4.3222
swing,67,14,2.7505
side,65,42,8.2515
wait,65,34,6.6798
watch,65,33,6.4833
die,65,32,6.2868
song,65,32,6.2868
end,64,47,9.2338
stand,64,40,7.8585
hurt,64,40,7.8585
fool,64,37,7.2692
sun,64,31,6.0904
blame,64,18,3.5363
listen,63,33,6.4833
soul,62,42,8.2515
smile,61,34,6.6798
power,61,13,2.554
sing,60,35,6.8762
guess,60,33,6.4833
groove,60,24,4.7151
music,59,25,4.9116
heaven,58,31,6.0904
ready,58,29,5.6974
pray,58,18,3.5363
left,57,46,9.0373
head,57,40,7.8585
door,57,35,6.8762
god,57,25,4.9116
honey,57,24,4.7151
beat,57,23,4.5187
fine,56,28,5.501
floor,55,31,6.0904
black,55,30,5.8939
lie,55,27,5.3045
fly,54,38,7.4656
sky,54,32,6.2868
feet,54,24,4.7151
hand,53,40,7.8585
share,52,28,5.501
open,51,32,6.2868
pay,51,20,3.9293
hide,50,29,5.6974
sound,50,27,5.3045
learn,50,16,3.1434
fight,49,26,5.1081
slow,48,30,5.8939
damn,47,27,5.3045
send,47,14,2.7505
big,46,34,6.6798
happy,46,28,5.501
gave,46,20,3.9293
lay,45,33,6.4833
high,45,31,6.0904
trust,45,24,4.7151
sad,45,19,3.7328
freak,45,17,3.3399
word,44,25,4.9116
sleep,44,24,4.7151
game,43,31,6.0904
easy,43,26,5.1081
cold,42,31,6.0904
forget,42,28,5.501
moment,42,27,5.3045
broken,42,26,5.1081
fire,41,27,5.3045
throw,41,23,4.5187
blow,41,22,4.3222
ass,41,18,3.5363
swear,41,16,3.1434
tomorrow,41,15,2.947
lost,40,31,6.0904
room,40,29,5.6974
phone,40,28,5.501
lord,40,16,3.1434
sexy,40,11,2.1611
hip,39,12,2.3576
rhythm,39,11,2.1611
under,37,24,4.7151
taste,37,21,4.1257
house,37,19,3.7328
city,36,19,3.7328
heard,35,30,5.8939
pump,35,11,2.1611
late,34,28,5.501
waste,34,21,4.1257
wear,34,21,4.1257
belong,34,16,3.1434
angel,34,12,2.3576
lady,33,22,4.3222
nice,33,21,4.1257
drive,32,19,3.7328
red,32,13,2.554
young,31,29,5.6974
chance,31,21,4.1257
felt,31,19,3.7328
pull,31,19,3.7328
special,31,18,3.5363
fast,30,21,4.1257
treat,30,20,3.9293
rest,30,20,3.9293
reach,30,20,3.9293
warm,30,18,3.5363
alive,30,17,3.3399
clear,30,16,3.1434
peace,30,15,2.947
control,30,13,2.554
cool,29,25,4.9116
sit,29,24,4.7151
top,29,20,3.9293
bit,29,20,3.9293
today,29,19,3.7328
sign,29,13,2.554
meant,28,21,4.1257
car,28,19,3.7328
faith,28,17,3.3399
flow,27,22,4.3222
eat,27,22,4.3222
blue,27,19,3.7328
doubt,27,18,3.5363
pretty,27,17,3.3399
win,27,16,3.1434
middle,27,14,2.7505
wind,27,13,2.554
memory,27,13,2.554
dark,27,12,2.3576
hop,27,11,2.1611
bout,27,11,2.1611
glad,26,19,3.7328
shine,26,16,3.1434
catch,26,14,2.7505
jump,26,12,2.3576
hair,25,22,4.3222
meet,25,17,3.3399
rap,25,17,3.3399
brother,25,17,3.3399
moon,25,16,3.1434
thank,25,15,2.947
blind,25,15,2.947
sex,25,15,2.947
bust,25,14,2.7505
fun,24,21,4.1257
truth,24,18,3.5363
met,24,17,3.3399
voice,24,17,3.3399
mad,24,16,3.1434
hate,24,14,2.7505
worth,24,13,2.554
joy,24,13,2.554
key,24,13,2.554
wake,24,12,2.3576
women,24,11,2.1611
