,decade,text
2406,1979,Never Love This Way Again You inside my And made each one come true Something no one else had found a way to do kept the one by one Since you took me in I know never love this way again I know never love this way again So I keep on before the good is gone I know never love this way again Hold hold hold on A fool will lose tomorrow back for yesterday I won't turn my head in sorrow If you should go away stand here and Just how good been And I know never love this way again I know never love this way again So I keep on before the good is gone I know never love this way again Hold hold hold on I know never love this way again So I keep on before the good is gone I know never love this way again Hold hold on I know never love this way again So I keep on before the good is gone I know never love this way again Hold hold
2407,1979,Sail On Sail on down the line a half a mile or so And don't know Where you're Maybe once or twice you see Time time I to To hold on to what we got But now you're And I don't mind about the you're Lord I gave all my money and my time I know a shame But you back your name yeah be on my way I won't be back to stay I guess move along for a good time Sail on down the line Ain't it funny how the time can go All my say they told me so But it doesn't It was plain to see that A small town boy like me Just wasn't your cup of tea I was wishful I gave you my heart and I to make you happy And you gave me nothing in You it ain't so hard to say Would you please just go away yeah thrown away the of being I want everyone to know for a good time Good yeah Sail honey Good never felt so good Sail honey Good never felt so good Sail sugar Good never felt so good Sail on Sail on Sail
2408,1979,Sad like over You knew I couldn't stay home today We had a good thing miss your sweet love Why must you look at me that way over Sad turn the other way I don't want to see you cry Sad you knew there'd come a day When we would have to say goodbye Try to The magic that we In time your broken heart will mend I never you You knew I I hate to see it Have to end But over Sad turn the other way I don't want to see you cry Sad you knew there'd come a day When we would have to say goodbye Sad turn the other way I don't want to see you cry Sad you knew there'd come a day When we would have to say goodbye Sad turn the other way I don't want to see you cry Sad you knew there'd come a day When we would have to say goodbye Sad turn the other
2409,1979,My my little pretty pretty one When you give me some you make my motor my motor run Gun it off of the Never give it such a dirty mind I always get it up for the touch of the kind Come a little will Close enough to look in my it a mystery to me down the length of my Never give it such a dirty mind I always get it up for the touch of the kind When you give to to Is it just a of Is it Or is it just a game in my Never give it such a dirty mind I always get it up for the touch of the kind my my my my
2410,1979,Lonesome Have you heard about the lonesome Beaten by the queen of every time Have you heard about the lonesome a but he still on Sit take a look at yourself Don't you want to be somebody Someday see inside You have to face you can't run and hide Have you heard about the lonesome Beaten by the queen of every time Have you heard about the lonesome a but he still on in least what they say He lost his head and he his heart away He still though nothing left his heart and now he has to pay the cost Have you heard about the lonesome Beaten by the queen of every time Have you heard about the lonesome a but he still on he and Though this is him crazy He don't show what goes on in his head But if you watch very close you'll see it all Sit take a look at yourself Don't you want to be somebody Someday see inside You have to face you can't run and hide Have you heard about the lonesome Beaten by the queen of every time Have you heard about the lonesome a but he still on Have you heard about the lonesome Have you heard about the lonesome Have you heard about the lonesome Now tell me have you heard about the lonesome
2411,1979,Bring Me Down You got me out of my mind You got me that wasting my time Don't bring me down no tell you once more before I get off the floor Don't bring me down You stay out with your fancy be the end Don't bring me down no tell you once more before I get off the floor Don't bring me down Don't bring me Don't bring me Don't bring me Don't bring me down What to the girl I to You let your mind out somewhere down the road Don't bring me down no tell you once more before I get off the floor Don't bring me down You're always your crazy One of these you're get it right Don't bring me down no tell you once more before I get off the floor Don't bring me down Don't bring me Don't bring me Don't bring me Don't bring me down You're just like a snake in the grass One of these you're break your glass Don't bring me down no tell you once more before I get off the floor Don't bring me down You got me got me away You got me up to you everyday Don't bring me down no tell you once more before I get off the floor Don't bring me down tell you once more before I get off the floor Don't bring me
2412,1979,the Love Has Gone For to love was all we could do We were young and we knew In our we're alive Deep we knew our love was true For we paid no mind to the past We knew love would last Every something right Would invite us to begin the day Something along the way What to be happy was sad Something along the way And yesterday was all we had the love has gone How could you lead me on And not let me stay the love has gone What to be right is wrong Can love lost be For to love each other with all We would need Love was strong for so long Never knew that what was wrong wasn't right We to find what we had was all we We were This affair would lead our love in two Something along the way Yesterday was all we had Something along the way What to be happy is sad Something along the way and yesterday was all we had the love has gone How could you lead me on And not let me stay the love has gone What to be right is wrong Can love lost be oh the love has gone What to be right is wrong Can love lost be oh the love has gone What to be right is wrong Can love lost be oh the love has gone What to be right is wrong Can love lost be oh oh the love has gone What to be right is wrong Can love lost be
2413,1979,Lead Me On have often heard you say You love me as a friend But I love you more than anyone You know I can't no I would give you anything throw my world away But you don't want to hear that And you want to hear me say Come on and lead me on Come on and tease me all night long I know right always need you never leave you Come on and lead me on Tease me all night long rather be a fool with a broken heart Than someone who never had a part of you You know I told you from the start how I feel Time goes in love for real We have never the That real do So maybe we are off still like this from you Come on and lead me on Come on and tease me all night long I know right always need you never leave you Come on and lead me on Tease me all night long rather be a fool with a broken heart Than someone who never had a part of
2414,1979,The Devil Went Down to The Devil went down to He was for a soul to steal He was in a bind he was way behind He was to make a deal When he came across this young man on a fiddle and it hot And the Devil upon a hickory stump and said let me tell you guess you didn't know but a fiddle too And if you'd care to take a dare make a bet with you Now you play a pretty good but give the Devil his due bet a fiddle of gold against your soul I think than The boy and it might be a sin But take your and you're the best up your bow and play your fiddle hard broke loose in and the Devil the And if you win you get this shiny fiddle made of gold But if you lose the devil your soul The Devil up his case and he start this And fire flew from his as he up his bow And he the bow across the and it made an evil hiss And a band of in and it something like When the Devil you're pretty good son But sit down in that chair right there and let me show you how on the The in the house of the sun in the bread pan out dough your dog no The Devil his head because he knew that he'd been beat And he laid that golden fiddle on the ground at feet just come on back if you try again I done told you son of a the best And he on the The in the house of the sun in the bread pan out dough will your dog
2415,1979,Good Good These are the good Leave your behind These are the good Good These are the good Our new state of mind These are the good Happy are here again The time is right for get how a to Come all do it again will be let them have their will be cute and Must put an end to this stress and strife I think I want to live the life Good These are the good Leave your behind These are the good Good These are the good Our new state of mind These are the good A has it that late Time just can't wait The clock why You silly you can't change your fate cut a a little jive and jitterbug We want the we won't settle for less Don't be a participate on the half and Good These are the good Leave your behind These are the good Good These are the good Our new state of mind These are the good Good A has it that late Time just can't wait The clock why You silly you can't change your fate cut a a little jive and jitterbug We want the we won't settle for less Don't be a participate on the half and Good These are the good Leave your behind These are the good Good These are the good Our new state of mind These are the good Good These are the good Leave your behind These are the good Good These are the good Our new state of mind These are the good Good These are the good Leave your behind These are the good Good
