Word,Frequency,Rows with Word,Percentage of Rows with Word
love,1163,259,53.9583
see,772,258,53.75
girl,618,161,33.5417
baby,590,165,34.375
right,556,197,41.0417
time,507,197,41.0417
give,384,144,30
life,380,126,26.25
man,337,120,25
call,277,104,21.6667
show,269,99,20.625
look,236,122,25.4167
turn,236,80,16.6667
stop,219,98,20.4167
real,219,89,18.5417
night,218,88,18.3333
dance,215,58,12.0833
said,212,90,18.75
tonight,210,58,12.0833
hit,208,89,18.5417
boy,208,63,13.125
day,203,86,17.9167
rock,195,38,7.9167
long,193,76,15.8333
move,184,69,14.375
heart,182,81,16.875
leave,179,84,17.5
party,178,38,7.9167
mind,172,98,20.4167
club,171,58,12.0833
bring,171,58,12.0833
body,169,68,14.1667
play,166,69,14.375
find,160,76,15.8333
shake,156,36,7.5
hard,155,70,14.5833
best,152,72,15
slow,152,41,8.5417
nothing,151,72,15
work,148,56,11.6667
watch,146,42,8.75
thought,145,78,16.25
told,144,73,15.2083
hold,143,71,14.7917
stay,141,78,16.25
money,140,61,12.7083
hear,138,84,17.5
stand,136,40,8.3333
ride,135,55,11.4583
floor,135,50,10.4167
crazy,134,49,10.2083
ass,132,53,11.0417
name,127,65,13.5417
head,127,61,12.7083
bit,127,26,5.4167
touch,126,55,11.4583
game,125,69,14.375
fly,125,51,10.625
break,124,54,11.25
drop,120,43,8.9583
roll,118,38,7.9167
walk,117,59,12.2917
lose,117,43,8.9583
left,114,65,13.5417
knew,114,53,11.0417
talk,113,71,14.7917
face,109,60,12.5
ready,107,43,8.9583
side,106,59,12.2917
mean,106,51,10.625
pop,105,41,8.5417
inside,104,52,10.8333
alone,103,50,10.4167
big,102,57,11.875
people,102,39,8.125
start,100,47,9.7917
live,98,45,9.375
babe,98,27,5.625
friend,96,34,7.0833
step,95,30,6.25
true,94,51,10.625
wrong,93,57,11.875
song,92,44,9.1667
kiss,91,39,8.125
beat,90,44,9.1667
music,88,19,3.9583
together,87,43,8.9583
low,87,36,7.5
place,84,40,8.3333
lost,84,37,7.7083
damn,82,45,9.375
gave,81,40,8.3333
bitch,81,30,6.25
fire,81,27,5.625
heard,80,44,9.1667
guess,80,41,8.5417
forever,78,30,6.25
sexy,78,25,5.2083
high,77,43,8.9583
open,77,39,8.125
forget,77,29,6.0417
top,76,43,8.9583
free,76,32,6.6667
meet,76,26,5.4167
blame,76,13,2.7083
hope,75,33,6.875
change,74,54,11.25
hand,74,48,10
room,74,28,5.8333
light,71,43,8.9583
smile,71,32,6.6667
white,71,26,5.4167
late,69,29,6.0417
reason,68,33,6.875
lady,67,26,5.4167
care,66,48,10
fall,66,42,8.75
soul,66,26,5.4167
fast,65,41,8.5417
fight,65,34,7.0833
cry,64,31,6.4583
buy,64,29,6.0417
control,64,24,5
hurt,63,35,7.2917
set,62,31,6.4583
under,62,30,6.25
sure,61,44,9.1667
die,61,28,5.8333
promise,61,23,4.7917
star,61,18,3.75
wait,60,41,8.5417
young,60,38,7.9167
hate,60,28,5.8333
pretty,60,28,5.8333
sing,59,39,8.125
breath,58,22,4.5833
fine,57,33,6.875
bout,57,26,5.4167
pain,56,34,7.0833
car,56,34,7.0833
cold,56,29,6.0417
moment,56,22,4.5833
fun,56,22,4.5833
throw,55,35,7.2917
woman,55,21,4.375
wake,55,17,3.5417
spend,54,27,5.625
drive,54,27,5.625
sun,53,35,7.2917
door,53,32,6.6667
caught,53,31,6.4583
catch,52,37,7.7083
close,52,36,7.5
god,51,30,6.25
