Word,Frequency,Rows with Word,Percentage of Rows with Word
air,51,28,5.8333
end,50,32,6.6667
chance,50,30,6.25
nice,50,26,5.4167
bed,50,26,5.4167
ring,50,21,4.375
save,50,14,2.9167
sit,49,28,5.8333
wit,49,17,3.5417
meant,49,16,3.3333
listen,48,37,7.7083
lie,48,22,4.5833
broke,48,20,4.1667
mess,47,18,3.75
stick,46,18,3.75
pay,45,32,6.6667
pull,45,29,6.0417
full,45,23,4.7917
handle,45,15,3.125
hood,44,30,6.25
wind,44,18,3.75
trust,44,17,3.5417
deep,43,29,6.0417
cool,43,29,6.0417
hair,43,28,5.8333
switch,43,19,3.9583
dead,43,15,3.125
carry,43,14,2.9167
heaven,43,13,2.7083
kick,42,26,5.4167
sound,42,26,5.4167
sleep,41,29,6.0417
phone,41,28,5.8333
clear,41,24,5
blow,41,24,5
blue,41,23,4.7917
mad,41,22,4.5833
today,41,21,4.375
daddy,41,17,3.5417
met,40,26,5.4167
feet,40,20,4.1667
bought,40,11,2.2917
rain,39,25,5.2083
ice,39,19,3.9583
bounce,39,16,3.3333
lick,39,11,2.2917
straight,38,28,5.8333
dark,38,27,5.625
type,38,26,5.4167
mouth,38,24,5
taste,38,20,4.1667
bet,38,20,4.1667
sweet,38,19,3.9583
gold,38,16,3.3333
follow,38,12,2.5
pass,37,26,5.4167
pick,37,25,5.2083
black,37,25,5.2083
chick,37,24,5
sick,37,17,3.5417
truth,36,29,6.0417
shine,36,23,4.7917
eye,36,22,4.5833
dream,36,16,3.3333
cream,36,10,2.0833
house,35,27,5.625
sex,35,18,3.75
beautiful,35,16,3.3333
special,35,16,3.3333
chain,35,15,3.125
dirty,34,18,3.75
lying,34,12,2.5
wide,34,10,2.0833
road,33,22,4.5833
middle,33,19,3.9583
street,33,16,3.3333
grow,33,11,2.2917
women,32,19,3.9583
happy,32,18,3.75
sweat,32,16,3.3333
rest,32,13,2.7083
strong,31,24,5
tight,31,23,4.7917
felt,31,21,4.375
laugh,31,20,4.1667
bottom,31,18,3.75
pussy,31,15,3.125
hang,31,12,2.5
treat,30,25,5.2083
drink,30,25,5.2083
dough,30,20,4.1667
spot,30,20,4.1667
thick,30,18,3.75
block,30,17,3.5417
breathe,30,17,3.5417
wet,30,11,2.2917
half,29,22,4.5833
deny,29,18,3.75
fool,29,15,3.125
worth,29,13,2.7083
flow,28,20,4.1667
sky,28,20,4.1667
lay,28,17,3.5417
admit,28,17,3.5417
voice,28,17,3.5417
secret,28,14,2.9167
tomorrow,28,13,2.7083
burn,28,11,2.2917
easy,27,20,4.1667
hide,27,17,3.5417
thank,27,14,2.9167
lock,27,13,2.7083
clean,26,19,3.9583
swear,26,18,3.75
style,26,18,3.75
fresh,26,17,3.5417
thug,26,14,2.9167
bag,26,14,2.9167
broken,26,12,2.5
grown,26,11,2.2917
afraid,25,17,3.5417
cash,25,15,3.125
loose,25,14,2.9167
candy,25,14,2.9167
write,25,12,2.5
single,25,12,2.5
cut,24,24,5
shot,24,21,4.375
wear,24,21,4.375
red,24,19,3.9583
ball,24,18,3.75
guy,24,15,3.125
child,24,14,2.9167
roof,24,14,2.9167
pack,24,14,2.9167
hop,24,14,2.9167
sad,24,13,2.7083
diamond,24,11,2.2917
town,23,19,3.9583
wall,23,17,3.5417
win,23,17,3.5417
freak,23,15,3.125
crack,23,15,3.125
doubt,23,14,2.9167
crib,23,14,2.9167
seeing,23,12,2.5
ma,23,10,2.0833
share,22,19,3.9583
problem,22,18,3.75
jump,22,16,3.3333
kid,22,16,3.3333
figure,22,16,3.3333
speak,22,15,3.125
alive,22,14,2.9167
wild,22,14,2.9167
sight,22,13,2.7083
story,22,12,2.5
smoke,22,12,2.5
rich,22,11,2.2917
couple,21,19,3.9583
flip,21,16,3.3333
grab,21,16,3.3333
stuck,21,15,3.125
shut,21,15,3.125
summer,21,13,2.7083
radio,21,13,2.7083
grind,21,12,2.5
dope,21,11,2.2917
worry,21,11,2.2917
past,20,17,3.5417
picture,20,16,3.3333
ground,20,15,3.125
brand,20,14,2.9167
track,20,11,2.2917
weak,20,10,2.0833
city,19,15,3.125
park,19,12,2.5
dollar,19,12,2.5
reach,19,12,2.5
west,19,11,2.2917
deserve,19,11,2.2917
booty,19,11,2.2917
shop,19,10,2.0833
spit,18,17,3.5417
trip,18,15,3.125
cute,18,15,3.125
rap,18,15,3.125
heat,18,15,3.125
learn,18,14,2.9167
king,18,14,2.9167
attention,18,14,2.9167
prove,18,14,2.9167
chill,18,13,2.7083
loud,18,12,2.5
slide,18,12,2.5
blind,18,10,2.0833
pray,17,12,2.5
em,17,12,2.5
school,17,11,2.2917
bend,17,11,2.2917
minute,17,11,2.2917
stuff,17,11,2.2917
wife,17,11,2.2917
dick,17,10,2.0833
fell,16,14,2.9167
tear,16,13,2.7083
stage,16,12,2.5
simple,16,12,2.5
sense,16,11,2.2917
question,16,10,2.0833
fade,16,10,2.0833
window,16,10,2.0833
lift,16,10,2.0833
gun,15,14,2.9167
paid,15,14,2.9167
dress,15,14,2.9167
explain,15,12,2.5
bank,15,12,2.5
family,15,12,2.5
scream,15,11,2.2917
word,15,10,2.0833
fame,15,10,2.0833
paper,15,10,2.0833
faith,15,10,2.0833
adore,15,10,2.0833
answer,14,13,2.7083
respect,14,13,2.7083
stare,14,12,2.5
fact,14,12,2.5
double,14,12,2.5
send,14,12,2.5
class,14,11,2.2917
week,14,11,2.2917
drama,14,11,2.2917
rush,14,10,2.0833
piece,14,10,2.0833
scene,14,10,2.0833
tongue,13,12,2.5
whip,13,11,2.2917
fear,13,10,2.0833
crew,12,12,2.5
queen,12,11,2.2917
knock,12,11,2.2917
spent,12,11,2.2917
read,12,11,2.2917
fat,12,11,2.2917
deal,12,11,2.2917
empty,12,10,2.0833
water,12,10,2.0833
choose,12,10,2.0833
case,12,10,2.0833
funny,11,10,2.0833
business,11,10,2.0833
brown,11,10,2.0833
neck,11,10,2.0833
mother,11,10,2.0833
great,11,10,2.0833
mirror,10,10,2.0833
plan,10,10,2.0833
fit,10,10,2.0833
passion,10,10,2.0833
push,10,10,2.0833
sell,10,10,2.0833
