Word,Frequency,Rows with Word,Percentage of Rows with Word
town,29,17,4.1363
reason,29,16,3.8929
alive,29,14,3.4063
blood,29,13,3.163
learn,29,11,2.6764
faith,29,11,2.6764
car,28,22,5.3528
mouth,28,20,4.8662
truth,28,19,4.6229
lay,28,18,4.3796
strong,28,17,4.1363
shoot,28,14,3.4063
feet,27,22,5.3528
hair,27,19,4.6229
grab,27,17,4.1363
sing,27,17,4.1363
story,27,13,3.163
sad,27,12,2.9197
handle,27,10,2.4331
smile,26,18,4.3796
fine,26,17,4.1363
mess,26,17,4.1363
nice,26,16,3.8929
gun,26,14,3.4063
fun,26,14,3.4063
brain,26,14,3.4063
glass,26,13,3.163
treat,26,13,3.163
kick,26,12,2.9197
sign,26,12,2.9197
dress,26,12,2.9197
mirror,26,9,2.1898
reach,26,9,2.1898
cool,25,20,4.8662
ball,25,19,4.6229
taste,25,17,4.1363
friend,25,15,3.6496
tear,25,14,3.4063
late,25,14,3.4063
roof,25,13,3.163
super,25,10,2.4331
eye,25,9,2.1898
gold,24,17,4.1363
woke,24,16,3.8929
scream,24,13,3.163
shut,24,12,2.9197
lift,24,11,2.6764
past,23,19,4.6229
street,23,18,4.3796
dick,23,16,3.8929
bit,23,15,3.6496
follow,23,15,3.6496
list,23,14,3.4063
half,23,13,3.163
sex,23,13,3.163
woman,23,12,2.9197
smell,23,12,2.9197
worth,23,12,2.9197
mother,23,9,2.1898
happy,22,18,4.3796
blue,22,16,3.8929
shot,22,16,3.8929
afraid,22,13,3.163
pocket,22,12,2.9197
dope,22,10,2.4331
blame,22,10,2.4331
broken,21,17,4.1363
small,21,15,3.6496
queen,21,14,3.4063
brought,21,14,3.4063
bought,21,11,2.6764
eat,20,15,3.6496
catch,20,15,3.6496
fill,20,14,3.4063
king,20,14,3.4063
tomorrow,20,14,3.4063
ice,20,13,3.163
clear,20,11,2.6764
minute,20,11,2.6764
figure,20,11,2.6764
wave,20,9,2.1898
space,19,14,3.4063
rest,19,14,3.4063
style,19,13,3.163
summer,19,12,2.9197
booty,19,11,2.6764
wife,19,10,2.4331
wear,19,10,2.4331
knock,19,9,2.1898
plan,19,9,2.1898
water,18,15,3.6496
sweet,18,15,3.6496
school,18,13,3.163
death,18,11,2.6764
bag,18,11,2.6764
week,18,11,2.6764
worst,18,10,2.4331
build,18,9,2.1898
speak,17,15,3.6496
future,17,14,3.4063
step,17,13,3.163
radio,17,12,2.9197
point,17,11,2.6764
moon,17,11,2.6764
kid,17,11,2.6764
paid,16,13,3.163
picture,16,12,2.9197
chase,16,12,2.9197
skin,16,12,2.9197
flip,16,10,2.4331
clean,16,10,2.4331
cover,15,12,2.9197
green,15,12,2.9197
kitchen,15,11,2.6764
star,15,11,2.6764
excuse,15,10,2.4331
quick,15,10,2.4331
pray,15,9,2.1898
beast,15,9,2.1898
breathe,14,13,3.163
question,14,12,2.9197
peace,14,12,2.9197
cup,14,11,2.6764
loose,14,11,2.6764
family,14,11,2.6764
sit,14,11,2.6764
daddy,14,11,2.6764
tight,14,10,2.4331
fame,14,10,2.4331
window,14,10,2.4331
attention,14,10,2.4331
wind,14,9,2.1898
chest,14,9,2.1898
waste,14,9,2.1898
steal,14,9,2.1898
read,13,13,3.163
choose,13,12,2.9197
quit,13,11,2.6764
block,13,10,2.4331
cash,13,10,2.4331
stupid,13,10,2.4331
drive,13,10,2.4331
liquor,13,9,2.1898
switch,12,12,2.9197
empty,12,11,2.6764
mike,12,11,2.6764
fear,12,10,2.4331
rich,12,10,2.4331
case,12,10,2.4331
great,12,10,2.4331
movie,12,9,2.1898
grow,12,9,2.1898
business,11,11,2.6764
price,11,10,2.4331
funny,11,9,2.1898
chain,11,9,2.1898
hop,11,9,2.1898
paper,11,9,2.1898
sweat,11,9,2.1898
em,11,9,2.1898
respect,10,10,2.4331
land,10,9,2.1898
jack,10,9,2.1898
fresh,10,9,2.1898
pink,9,9,2.1898
breath,9,9,2.1898
