Word,Frequency,Rows with Word,Percentage of Rows with Word
love,1064,205,49.8783
see,486,176,42.8224
time,404,159,38.6861
baby,373,91,22.1411
right,355,135,32.8467
look,315,109,26.5207
give,279,114,27.7372
tonight,255,64,15.5718
heart,244,86,20.9246
life,234,88,21.4112
said,233,80,19.4647
night,233,76,18.4915
turn,225,81,19.708
show,222,75,18.2482
call,195,81,19.708
girl,184,78,18.9781
nothing,182,65,15.8151
stop,152,53,12.8954
real,151,59,14.3552
break,149,48,11.6788
hard,147,66,16.0584
young,140,47,11.4355
day,139,72,17.5182
mind,133,67,16.3017
hold,128,64,15.5718
long,127,43,10.4623
hit,126,68,16.545
find,125,59,14.3552
stay,125,53,12.8954
money,123,55,13.382
live,122,46,11.1922
high,121,56,13.6253
head,121,51,12.4088
leave,118,63,15.3285
told,118,63,15.3285
bitch,118,40,9.7324
body,117,41,9.9757
hear,116,61,14.8418
man,115,62,15.0852
talk,107,42,10.219
party,105,39,9.4891
work,103,32,7.7859
place,102,40,9.7324
fall,101,46,11.1922
low,101,26,6.326
care,100,39,9.4891
dance,98,35,8.5158
black,98,23,5.5961
count,98,15,3.6496
blow,97,30,7.2993
die,93,35,8.5158
face,90,48,11.6788
big,88,47,11.4355
song,87,29,7.056
city,87,24,5.8394
beat,86,40,9.7324
people,85,48,11.6788
close,85,39,9.4891
touch,85,31,7.5426
play,83,48,11.6788
name,83,42,10.219
hand,83,41,9.9757
shake,81,16,3.8929
ride,80,37,9.0024
wild,80,15,3.6496
side,78,42,10.219
floor,78,29,7.056
watch,77,43,10.4623
light,76,45,10.9489
gave,76,34,8.2725
knew,76,32,7.7859
alone,75,31,7.5426
hate,74,42,10.219
lose,74,35,8.5158
fire,73,37,9.0024
stand,71,30,7.2993
ready,71,26,6.326
rock,70,31,7.5426
sky,69,20,4.8662
hope,68,41,9.9757
kiss,68,30,7.2993
best,67,34,8.2725
fight,66,28,6.8127
cry,66,24,5.8394
walk,65,41,9.9757
mean,64,37,9.0024
crazy,64,31,7.5426
start,63,39,9.4891
boy,63,34,8.2725
club,63,29,7.056
sun,63,28,6.8127
drink,63,17,4.1363
end,62,37,9.0024
bring,62,32,7.7859
throw,62,30,7.2993
fly,62,28,6.8127
meant,61,17,4.1363
ass,60,39,9.4891
left,60,38,9.2457
change,60,32,7.7859
bed,60,21,5.1095
music,58,26,6.326
true,57,20,4.8662
inside,56,33,8.0292
open,56,31,7.5426
broke,56,27,6.5693
red,56,23,5.5961
fake,56,22,5.3528
thought,55,41,9.9757
wait,55,24,5.8394
meet,54,27,6.5693
slow,54,26,6.326
together,54,21,5.1095
heard,53,34,8.2725
beautiful,53,22,5.3528
guess,52,37,9.0024
move,52,31,7.5426
drop,51,31,7.5426
dream,51,23,5.5961
game,50,32,7.7859
pull,50,31,7.5426
god,50,26,6.326
house,50,24,5.8394
caught,50,17,4.1363
wrong,49,30,7.2993
full,49,27,6.5693
bass,49,9,2.1898
top,48,29,7.056
sound,48,17,4.1363
free,47,27,6.5693
babe,47,15,3.6496
dirty,47,15,3.6496
dark,46,34,8.2725
forget,46,24,5.8394
white,46,24,5.8394
pop,46,22,5.3528
road,46,20,4.8662
bust,46,9,2.1898
hide,45,21,5.1095
born,45,12,2.9197
cold,44,26,6.326
stuck,44,18,4.3796
listen,43,22,5.3528
air,43,21,5.1095
sick,43,14,3.4063
shine,43,12,2.9197
yellow,43,11,2.6764
under,42,28,6.8127
trust,42,23,5.5961
straight,42,22,5.3528
room,42,22,5.3528
set,42,22,5.3528
pick,42,21,5.1095
lie,42,20,4.8662
bright,42,13,3.163
rain,42,10,2.4331
smoke,41,22,5.3528
sleep,40,30,7.2993
dead,40,17,4.1363
safe,40,9,2.1898
save,39,21,5.1095
pay,38,27,6.5693
deep,38,26,6.326
phone,38,24,5.8394
kill,38,23,5.5961
soul,38,21,5.1095
loud,38,16,3.8929
door,37,28,6.8127
wake,37,24,5.8394
write,37,17,4.1363
middle,37,15,3.6496
moment,37,12,2.9197
word,36,27,6.5693
roll,36,25,6.0827
pain,36,22,5.3528
forever,36,22,5.3528
swear,36,20,4.8662
send,36,14,3.4063
post,36,9,2.1898
sure,35,21,5.1095
cut,34,29,7.056
bet,34,22,5.3528
pretty,34,21,5.1095
drunk,34,19,4.6229
push,34,15,3.6496
felt,34,13,3.163
diamond,34,9,2.1898
met,33,23,5.5961
hurt,33,22,5.3528
jump,33,21,5.1095
ground,33,20,4.8662
dumb,33,11,2.6764
easy,32,19,4.6229
burn,32,15,3.6496
spend,32,14,3.4063
raise,32,13,3.163
damn,31,26,6.326
control,31,24,5.8394
buy,31,22,5.3528
fell,31,21,5.1095
couple,31,19,4.6229
single,31,19,4.6229
chance,31,18,4.3796
perfect,31,14,3.4063
worry,31,13,3.163
today,31,10,2.4331
lost,30,22,5.3528
promise,30,17,4.1363
rap,30,13,3.163
trouble,30,10,2.4331
pussy,29,20,4.8662
mad,29,19,4.6229
fast,29,17,4.1363
