,decade,text
600,2009,have some this beat is sick I take a ride on your stick have some this beat is sick I take a ride on your stick I kiss you But if I then I might miss babe and got my ass by sexy Guess he to to play a a Hold me and love just touch you for a minute Maybe three is enough for my heart to quit it have some this beat is sick I take a ride on your stick Don't think too just bust that kick I take a ride on your stick play a play a Do you want love or you want Are you in the the play a play a Do you want love or you want Are you in the the on a mission And it some heavy yeah You've your in And now I want it want it a a Hold me and love just touch you for a minute Maybe three is enough for my heart to quit it have some this beat is sick I take a ride on your stick Don't think too just bust that kick I take a ride on your stick play a play a Do you want love or you want Are you in the the play a play a Do you want love or you want Are you in the the I can see you there from across the block With a smile on your mouth and your hand on your The story of it always the same With a boy and a girl and a and a game And a game And a game And a game A play a play a Do you want love or you want Are you in the the play a play a Do you want love or you want Are you in the the play a play a Do you want love or you want Are you in the the play a play a Do you want love or you want Are you in the the the
601,2009,The Climb I can almost see it That dream but a voice inside my head never reach Every step Every move I make lost with no My faith is shaken But I keep keep my head held high always be another mountain always make it move Always be an uphill battle have to lose Ain't about how fast I get there Ain't about on the other side the climb The The might knock me but not I may not know it But these are the that yeah Just keep And I be strong Just keep always be another mountain always make it move Always be an uphill battle have to lose Ain't about how fast I get there Ain't about on the other side the climb Yeah always be another mountain always make it move Always be an uphill battle you're have to lose Ain't about how fast I get there Ain't about on the other side the climb Yeah Keep on Keep Keep the baby all all about the climb Keep your keep your faith
602,2009,Second Chance My are open wide By the I made it through the day I the world By the out today I just saw she you always in Even the man in the moon Somewhere in the stratosphere Tell my tell my father done the best I can To make them this is my life I hope they not just is a second chance Please don't cry one tear for me not afraid of what I have to say This is my one and only voice So listen only for today I just saw she you always in Even the man in the moon Somewhere in the stratosphere Tell my tell my father done the best I can To make them this is my life I hope they not just is a second chance my chance This is my chance Tell my tell my father done the best I can To make them this is my life I hope they not just is a second chance is a second chance is a second
603,2009,Birthday Sex birthday so I know you want to out Even if we only go to house Sip easy as we sit up on couch good but I know you want to out You say you want I think you found it Get ready for don't be We you feel Tell me where you want your girl you know you know been wake up in the about your you know you know Don't need or just need body to Birthday birthday sex Birthday birthday sex See you sexy and them got me on tent think I got you Don't tap fight until the end Ring that we start over again We with passion birthday Been at it for I know you thirsty You kiss me so taste just like Just tell me how you want your girl you know you know been wake up in the about your you know you know Don't need or just need body to Birthday birthday sex Birthday birthday sex take a dive into the water Deep until I know I that without a I might just sweep you off your feet And make you tell body how I do Or maybe we can float on top my You close your as I between We work our way from kitchen and you know more than able to yeah Say you on the bed But you got me and on the bed you know you know been wake up in the your you know you know Don't need or just need body to Birthday birthday sex Birthday birthday sex
604,2009,Halo those I they're down And they didn't even put up a fight They didn't even make a sound I found a way to let you win But I never had a doubt in the light of your halo I got my angel now like been Every rule I had you the risk that I ain't never shut you out Everywhere now by your embrace I can see your halo You know you're my grace You're everything I need and more written all over your face I can feel your halo Pray it won't fade away I can feel your halo I can see your halo I can feel your halo I can see your halo Halo Hit me like a ray of sun through my night You're the only one that I want Think to your light I swore never fall again But this don't even feel like can't forget To pull me back to the ground again like been Every rule I had you The risk that never shut you out Everywhere now by your embrace I can see your halo You know you're my grace You're everything I need and more written all over your face I can feel your halo Pray it won't fade away I can feel your halo I can see your halo I can feel your halo I can see your halo I can feel your halo I can see your halo I can feel your halo I can see your halo Halo Halo Everywhere now by your embrace I can see your halo You know you're my grace You're everything I need and more written all over your face I can feel your halo Pray it won't fade away I can feel your halo I can see your halo I can feel your halo I can see your halo oh oh I can feel your halo I can see your halo I can feel your halo I can see your halo
605,2009,Trust Me Black dress with the I got the breath of a last cigarette on my teeth And an actress but she got no need got money from her in a trust fund back East always to your While my tongue is on the inside of some other teeth You tell your if he got beef That a vegetarian and I of him She to touch she to love never leave trust a never trust a ho trust a ho a ho trust me She to touch she to love never leave trust a never trust a ho trust a ho a ho trust me X's on the back of your them in the bathroom to drink like the And the you stole off the stage Has red and purple lipstick all over the page cover your in the with the bottle in your palm And the best is no one who you are Just another girl alone at the bar She to touch she to love never leave trust a never trust a ho trust a ho a ho trust me She to touch she to love never leave trust a never trust a ho trust a ho a ho trust me shut your Do the and talk with your I said shut your Do the and talk with your I said shut your Do the and talk with your She to touch she to love never leave trust a never trust a ho trust a ho a ho trust me She to touch she to love never leave trust a never trust a ho trust a ho a ho trust
606,2009,You Found Me I found God On the of First and Where the west Was all but won We're all alone his last cigarette I you He Where were you When everything was Where all my Were spent by a telephone That never rang And all I was a call That never came To the of First and Lost and insecure You found you found me on the floor you have to Where were Where were Just a little late You found you found me in the end Everyone up alone But her The only one known Who I am Who and who I be No way to know How long she will be next to me Lost and insecure You found you found me on the floor you have to Where were Where were Just a little late You found you found me For The city But been For and and and And you never left me no You never sent me no You got some nerve all I want Lost and insecure You found you found me on the floor Where were Where were Lost and insecure You found you found me on the floor you have to Where were Where were Just a little late You found you found me you have to wait To find To find
607,2009,Love Story We were both young when I first saw you I close my and the flashback there On a balcony in summer air See the see the the ball See you make your way through the crowd And Little did I know That you were you were And my daddy away from And I was on the staircase Begging don't and I said take me somewhere we can be alone be all left to do is run You'll be the prince and be the princess a love just say So I sneak out to the garden to see you We keep we're dead if they knew So close your Escape this town for a little oh you were I was a scarlet And my daddy away from But you were everything to me I was begging don't and I said take me somewhere we can be alone be all left to do is run You'll be the prince and be the princess a love just say save they're to tell me how to feel This love is but real Don't be we'll make it out of this mess a love just say oh I got of if you were around My faith in you was When I met you on the of town And I save been so alone I keep for you but you never come Is this in my I don't know what to He knelt to the ground and out a and said you'll never have to be alone I love and all I know I to your go pick out a white dress a love just say oh oh we were both young when I first saw
608,2009,Right Round You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down walk out of the house with my Hop there we I got to go People to time is precious I look at my control Just like my mind where No no no but No my on roll I like my jewelry always on gold I know the storm is My keep me Call up my on and tonight cause meant to be We keep a shot Cause we be platinum Patron that be I owe you just like the you the truth with all of that goody You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down From the top of the pole I watch her go down She got me my money around Ain't nothing more beautiful to be found From the top of the pole I watch her go down She got me my money around Ain't nothing more beautiful to be found must know the man My money love her like a one fan Don't open my let her talk to my My A couple of I got My paper her dance Get dirty all part of my plan We made out of sand her fire than Girl won't you move a Time to get maximum wage That body on a in a that bottom is at like I know a show like a gun out of holster Tell me whatever then be your chauffeur You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down From the top of the pole I watch her go down She got me my money around Ain't nothing more beautiful to be found down From the top of the pole I watch her go down She got me my money around Ain't nothing more beautiful to be found down my money control Somebody help me my bank roll But king of the club And the crown these these they go down You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down You spin my head right right round When you go when you go down You spin my head right right round When you go when you go
609,2009,Day Day and night I toss and I keep my mind I look for peace but see I don't attain What I need for this silly game we play Now look at this to magnet me I try to run but see not that fast I think first but finish last day and night The to free his mind at night all alone through the day and night The to free his mind at night Day and night The to free his mind at night all some will never change The to free his mind at night Hold the phone The solo doe low on the move can't seem to shake the shade Within his he the life he made The pain is deep A silent you won't hear a peep The girl he don't see no one into It the that she had are through day and night The to free his mind at night all alone through the day and night The to free his mind at night Day and night The to free his mind at night all some will never change The to free his mind at night Slow When the temple up and that new He alive though he is blue The sun is man super cool The They fade away he into his white He a clip and then on the way To free his mind in search of To free his mind in search of To free his mind in search of day and night The to free his mind at night all alone through the day and night The to free his mind at night Day and night The to free his mind at night all some will never change The to free his mind at night at
