Word,Frequency,Rows with Word,Percentage of Rows with Word
love,2207,378,52.9412
baby,583,149,20.8683
time,537,229,32.0728
see,462,228,31.9328
night,390,157,21.9888
right,389,158,22.1289
give,337,126,17.6471
man,313,121,16.9468
life,305,136,19.0476
day,275,153,21.4286
heart,268,125,17.507
girl,241,103,14.4258
long,229,127,17.7871
woman,227,53,7.423
said,221,105,14.7059
hold,221,96,13.4454
find,215,121,16.9468
song,215,69,9.6639
sweet,209,83,11.6246
mind,201,115,16.1064
sing,199,56,7.8431
look,191,98,13.7255
people,189,78,10.9244
leave,186,71,9.944
rock,182,24,3.3613
boogie,179,15,2.1008
shake,175,18,2.521
stop,160,59,8.2633
hear,155,86,12.0448
high,154,59,8.2633
alone,147,72,10.084
dance,147,40,5.6022
nothing,144,58,8.1232
left,140,66,9.2437
wrong,140,59,8.2633
call,136,66,9.2437
tonight,134,43,6.0224
light,132,68,9.5238
play,126,58,8.1232
hand,125,67,9.3838
smile,125,58,8.1232
stay,121,71,9.944
show,121,61,8.5434
turn,120,66,9.2437
head,120,46,6.4426
together,117,64,8.9636
sky,116,46,6.4426
live,113,57,7.9832
heaven,112,31,4.3417
music,108,39,5.4622
knew,107,62,8.6835
big,106,55,7.7031
place,104,72,10.084
hard,104,69,9.6639
lady,104,30,4.2017
money,103,35,4.902
town,101,48,6.7227
best,101,47,6.5826
close,100,63,8.8235
thought,100,61,8.5434
free,99,57,7.9832
cry,98,54,7.563
dream,97,49,6.8627
told,96,62,8.6835
young,96,43,6.0224
friend,95,52,7.2829
change,95,41,5.7423
sun,93,62,8.6835
lost,93,48,6.7227
start,92,49,6.8627
true,91,69,9.6639
end,91,49,6.8627
blue,91,43,6.0224
boy,91,41,5.7423
face,90,56,7.8431
bring,90,39,5.4622
touch,89,50,7.0028
heard,89,43,6.0224
easy,89,21,2.9412
soul,87,48,6.7227
happy,84,48,6.7227
rain,83,44,6.1625
move,82,33,4.6218
god,82,26,3.6415
train,82,18,2.521
inside,81,58,8.1232
name,81,53,7.423
sure,80,52,7.2829
lay,80,34,4.7619
talk,79,36,5.042
sad,79,34,4.7619
walk,78,41,5.7423
fall,78,34,4.7619
fly,77,23,3.2213
cold,75,46,6.4426
city,75,25,3.5014
fool,73,43,6.0224
fine,73,39,5.4622
lose,73,38,5.3221
pretty,73,36,5.042
floor,73,34,4.7619
die,73,32,4.4818
child,73,21,2.9412
band,70,20,2.8011
real,68,48,6.7227
wait,65,36,5.042
strong,64,38,5.3221
late,64,32,4.4818
ride,64,23,3.2213
door,63,45,6.3025
fire,63,30,4.2017
roll,63,16,2.2409
hope,62,38,5.3221
beautiful,62,21,2.9412
chance,61,33,4.6218
shine,61,20,2.8011
gave,60,32,4.4818
crazy,59,35,4.902
today,58,37,5.1821
care,57,37,5.1821
babe,57,20,2.8011
white,57,20,2.8011
side,55,38,5.3221
kiss,55,33,4.6218
black,55,28,3.9216
lord,55,24,3.3613
fast,55,22,3.0812
forever,54,37,5.1821
stand,54,32,4.4818
groove,54,15,2.1008
peace,53,18,2.521
car,53,18,2.521
gold,53,17,2.381
mean,52,34,4.7619
room,52,32,4.4818
guess,51,37,5.1821
break,51,29,4.0616
sound,51,29,4.0616
fun,51,22,3.0812
funny,51,21,2.9412
set,50,33,4.6218
pain,50,31,4.3417
listen,49,36,5.042
wind,49,27,3.7815
road,49,27,3.7815
air,49,19,2.6611
honey,48,27,3.7815
body,48,23,3.2213
magic,46,23,3.2213
watch,45,26,3.6415
house,45,25,3.5014
ground,45,23,3.2213
yesterday,45,21,2.9412
tight,44,27,3.7815
street,43,27,3.7815
mother,43,22,3.0812
forget,42,33,4.6218
grow,42,22,3.0812
daddy,42,17,2.381
tomorrow,41,27,3.7815
sleep,41,24,3.3613
reason,41,24,3.3613
open,41,22,3.0812
bright,41,21,2.9412
felt,40,29,4.0616
hair,40,28,3.9216
hide,40,22,3.0812
born,40,21,2.9412
river,40,19,2.6611
sunshine,40,16,2.2409
deep,39,33,4.6218
dark,39,23,3.2213
word,39,21,2.9412
alive,39,20,2.8011
sea,38,27,3.7815
low,38,23,3.2213
sight,38,23,3.2213
feet,37,30,4.2017
meet,37,23,3.2213
reach,37,20,2.8011
summer,37,19,2.6611
game,37,19,2.6611
glad,37,17,2.381
broken,37,17,2.381
hurt,36,28,3.9216
lie,36,27,3.7815
warm,36,25,3.5014
midnight,36,15,2.1008
nice,35,19,2.6611
water,35,18,2.521
dead,34,16,2.2409
moon,33,24,3.3613
star,33,23,3.2213
brother,33,20,2.8011
hang,33,18,2.521
darling,33,16,2.2409
land,32,19,2.6611
catch,31,22,3.0812
share,30,21,2.9412
moment,30,20,2.8011
answer,30,18,2.521
send,30,18,2.521
embed,29,29,4.0616
red,29,24,3.3613
fell,29,17,2.381
ready,29,15,2.1008
rest,28,20,2.8011
wife,28,16,2.2409
full,27,23,3.2213
spend,27,22,3.0812
work,27,19,2.6611
past,27,18,2.521
wine,27,16,2.2409
truth,27,15,2.1008
met,26,21,2.9412
slow,26,20,2.8011
story,26,18,2.521
bed,26,17,2.381
bit,26,15,2.1008
son,26,15,2.1008
held,25,21,2.9412
win,25,17,2.381
carry,25,17,2.381
joy,25,16,2.2409
fill,25,15,2.1008
eye,24,18,2.521
drive,24,17,2.381
wall,24,16,2.2409
guy,23,19,2.6611
wild,23,17,2.381
beat,22,21,2.9412
sit,22,18,2.521
school,22,16,2.2409
blind,22,16,2.2409
sign,22,15,2.1008
half,21,18,2.521
caught,21,17,2.381
worry,21,17,2.381
laugh,21,15,2.1008
cool,21,15,2.1008
clear,20,18,2.521
simple,20,15,2.1008
pride,19,15,2.1008
wear,18,17,2.381
gun,17,15,2.1008
hit,17,15,2.1008
wake,16,15,2.1008
